Index	Visited	Standard	Reference Number	Title	URL	Image Path	Image Downloaded
0	False	ISO 7000	0001	Limited rectilinear motion	iso.org/obp/ui/#iso:grs:7000:0001	https://www.iso.org/obp/graphics/grs/a90dc568-214b-4e9e-becb-c93899b9e2b8_	True
1	False	ISO 7000	0002	Limited rectilinear motion and return	iso.org/obp/ui/#iso:grs:7000:0002	https://www.iso.org/obp/graphics/grs/87742651-0640-4387-999c-d86614cf72ca_	True
2	False	ISO 7000	0003	Limited reciprocating rectilinear motion (continuous)	iso.org/obp/ui/#iso:grs:7000:0003	https://www.iso.org/obp/graphics/grs/2c2ffc25-28cb-4f03-91a6-ddb32d58908d_	True
3	False	ISO 7000	0004	Direction of continuous rotation	iso.org/obp/ui/#iso:grs:7000:0004	https://www.iso.org/obp/graphics/grs/c312e555-8d08-402c-8cf1-ee862fd9671b_	True
4	False	ISO 7000	0005	Rotation in two directions	iso.org/obp/ui/#iso:grs:7000:0005	https://www.iso.org/obp/graphics/grs/3550cd50-d7b2-4363-9eb2-3e6c0ab422b4_	True
5	False	ISO 7000	0006	Limited rotation	iso.org/obp/ui/#iso:grs:7000:0006	https://www.iso.org/obp/graphics/grs/29a74242-a7fd-47af-b41e-4205d9592a4a_	True
6	False	ISO 7000	0007	Limited rotation and return	iso.org/obp/ui/#iso:grs:7000:0007	https://www.iso.org/obp/graphics/grs/dc1e4543-e0a2-4496-9b6a-4b60838b2374_	True
7	False	ISO 7000	0008	Oscillating rotary movement (continuous)	iso.org/obp/ui/#iso:grs:7000:0008	https://www.iso.org/obp/graphics/grs/b0681fe1-cacd-439f-b800-f74def5e9002_	True
8	False	ISO 7000	0009	One revolution	iso.org/obp/ui/#iso:grs:7000:0009	https://www.iso.org/obp/graphics/grs/947a4f7d-d190-49a3-8255-2aa7a7ea5ac4_	True
9	False	ISO 7000	0010	Number of revolutions per minute; rotational speed	iso.org/obp/ui/#iso:grs:7000:0010	https://www.iso.org/obp/graphics/grs/9a794b0a-03e7-4213-8a3c-89845ab420a1_	True
10	False	ISO 7000	0011	Electric motor, general	iso.org/obp/ui/#iso:grs:7000:0011	https://www.iso.org/obp/graphics/grs/c4e64c50-f329-4f4f-b0f1-850b30e56dba_	True
11	False	ISO 7000	0012	Gear drive	iso.org/obp/ui/#iso:grs:7000:0012	https://www.iso.org/obp/graphics/grs/ca45cac5-29b3-41d4-a1d7-3fba03b7849c_	True
12	False	ISO 7000	0013	Belt drive	iso.org/obp/ui/#iso:grs:7000:0013	https://www.iso.org/obp/graphics/grs/49ba93d6-6f3a-44f3-8b02-28b2e1d7be45_	True
13	False	ISO 7000	0014	Chain drive	iso.org/obp/ui/#iso:grs:7000:0014	https://www.iso.org/obp/graphics/grs/8034b29f-9a14-4b6b-8641-9f05a412cee9_	True
14	False	ISO 7000	0015	Coupling	iso.org/obp/ui/#iso:grs:7000:0015	https://www.iso.org/obp/graphics/grs/f4118a89-8620-4911-bb41-5038dc3d8bbd_	True
15	False	ISO 7000	0016	Cam	iso.org/obp/ui/#iso:grs:7000:0016	https://www.iso.org/obp/graphics/grs/40410e5a-54e3-4c57-96ab-5ce75d40431a_	True
16	False	ISO 7000	0017	Automatic control (closed loop)	iso.org/obp/ui/#iso:grs:7000:0017	https://www.iso.org/obp/graphics/grs/3475310b-a691-416d-a806-f3b89446d3c7_	True
17	False	ISO 7000	0018	Lock; tighten	iso.org/obp/ui/#iso:grs:7000:0018	https://www.iso.org/obp/graphics/grs/78482775-f81d-42a3-a96b-2293a25e9eed_	True
18	False	ISO 7000	0019	Unlock; unclamp	iso.org/obp/ui/#iso:grs:7000:0019	https://www.iso.org/obp/graphics/grs/932c35d0-a954-4de1-b1f6-cf66230aa938_	True
19	False	ISO 7000	0020	Brake on	iso.org/obp/ui/#iso:grs:7000:0020	https://www.iso.org/obp/graphics/grs/ee1e5a5c-2c98-4ee7-905d-c1af8fb41250_	True
20	False	ISO 7000	0021	Brake off	iso.org/obp/ui/#iso:grs:7000:0021	https://www.iso.org/obp/graphics/grs/e0c92eea-dbd3-493b-9c98-efd9afb68082_	True
21	False	ISO 7000	0022	Engaging; mechanical activation	iso.org/obp/ui/#iso:grs:7000:0022	https://www.iso.org/obp/graphics/grs/a5912280-c301-48c1-851e-18d1598eca29_	True
22	False	ISO 7000	0023	Disengaging; mechanical deactivation	iso.org/obp/ui/#iso:grs:7000:0023	https://www.iso.org/obp/graphics/grs/468c912b-cee8-4532-ad8a-2385b68a83d6_	True
23	False	ISO 7000	0024	Open (a container)	iso.org/obp/ui/#iso:grs:7000:0024	https://www.iso.org/obp/graphics/grs/89694729-ff3f-44c2-835c-d8f3abc6ab3b_	True
24	False	ISO 7000	0025	Close (a container)	iso.org/obp/ui/#iso:grs:7000:0025	https://www.iso.org/obp/graphics/grs/00742719-2b9f-4f60-8fc1-986c33cd6c64_	True
25	False	ISO 7000	0026	Automatic cycle; semi-automatic cycle	iso.org/obp/ui/#iso:grs:7000:0026	https://www.iso.org/obp/graphics/grs/3ba0ccb8-59e0-4227-a41e-ca7eb5a45a28_	True
26	False	ISO 7000	0027	Cooling; air conditioning	iso.org/obp/ui/#iso:grs:7000:0027	https://www.iso.org/obp/graphics/grs/6ac35d46-5c90-4c5e-8c1a-d031ec82903c_	True
27	False	ISO 7000	0028	Filling	iso.org/obp/ui/#iso:grs:7000:0028	https://www.iso.org/obp/graphics/grs/ac8852ba-6548-4278-8de7-b72850196e96_	True
28	False	ISO 7000	0029	Draining; emptying	iso.org/obp/ui/#iso:grs:7000:0029	https://www.iso.org/obp/graphics/grs/274c1af3-9c15-4d42-bf58-c6322839bf62_	True
29	False	ISO 7000	0030	Overflow	iso.org/obp/ui/#iso:grs:7000:0030	https://www.iso.org/obp/graphics/grs/b8983b48-39a5-4a85-b771-fc8169e3f768_	True
30	False	ISO 7000	0031	Lubrication	iso.org/obp/ui/#iso:grs:7000:0031	https://www.iso.org/obp/graphics/grs/850a1791-55b0-4ca2-ac7c-34db286d03cb_	True
31	False	ISO 7000	0032	Blowing	iso.org/obp/ui/#iso:grs:7000:0032	https://www.iso.org/obp/graphics/grs/f7bf2e5e-35b5-4885-926e-8f15dfa3a717_	True
32	False	ISO 7000	0033	Suction	iso.org/obp/ui/#iso:grs:7000:0033	https://www.iso.org/obp/graphics/grs/a424f30b-0eac-42d6-83f2-8fe5de80e21a_	True
33	False	ISO 7000	0034	Temperature	iso.org/obp/ui/#iso:grs:7000:0034	https://www.iso.org/obp/graphics/grs/5bf03c3e-2a63-4483-9699-79f846aa1176_	True
